asv_name,sample,reads,nest_id,control_type
ASV_7694,x0064_mul1806a1_21,0,NA,cloacal
ASV_7694,a122_mul1806a1_10,0,a122,NA
ASV_7694,a43_mul1806a1_13,0,a43,NA
ASV_7694,a56_mul1806a1_11,15,a56,NA
ASV_7694,a83_mul1806a1_12,64,a83,NA
ASV_7694,a91_mul1806a1_8,0,a91,NA
ASV_7694,a98_mul1806a1_9,0,a98,NA
ASV_7694,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_7694,e105_mul1806a1_14,52,e105,NA
ASV_7694,e110_mul1806a1_17,0,e110,NA
ASV_7694,e117_mul1806a1_16,0,e117,NA
ASV_7694,e17_mul1806a1_18,15,e17,NA
ASV_7694,e25_mul1806a1_15,0,e25,NA
ASV_7694,e53_mul1806a1_20,0,e53,NA
ASV_7694,e62_mul1806a1_19,0,e62,NA
ASV_7694,j16_mul1806a1_5,0,j16,NA
ASV_7694,j18_mul1806a1_2,0,j18,NA
ASV_7694,j21_mul1806a1_4,0,j21,NA
ASV_7694,j23_mul1806a1_3,14,j23,NA
ASV_7694,j27_mul1806a1_6,0,j27,NA
ASV_7694,j46_mul1806a1_7,0,j46,NA
ASV_7694,j64_mul1806a1_1,0,j64,NA
ASV_7694,water1_mul1806a1_26,0,NA,water
ASV_7694,dogsample4_cou1805a2_27,0,NA,dogsample
ASV_7694,water4_cou1805a2_28,0,NA,water
ASV_7704,x0035_mul1806a1_24,0,NA,cloacal
ASV_7704,x0041_mul1806a1_22,0,NA,cloacal
ASV_7704,x0045_mul1806a1_23,0,NA,cloacal
ASV_7704,x0064_mul1806a1_21,84,NA,cloacal
ASV_7704,a122_mul1806a1_10,0,a122,NA
ASV_7704,a43_mul1806a1_13,32,a43,NA
ASV_7704,a56_mul1806a1_11,0,a56,NA
ASV_7704,a83_mul1806a1_12,0,a83,NA
ASV_7704,a91_mul1806a1_8,0,a91,NA
ASV_7704,a98_mul1806a1_9,0,a98,NA
ASV_7704,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_7704,e105_mul1806a1_14,0,e105,NA
